grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
Joe Paterno,1,Joe Paterno,409,low,2/4/2010,2,4,1966
Rip Engle,2,Rip Engle,104,medium,8/3/2009,8,3,1950
Big Higgens,3,Big Higgens,91,medium,11/12/2009,11,12,1930
Hugo Bezdek,4,Hugo Bezdek,65,medium,3/11/2010,3,11,1918
Tom Fennell,5,Tom Fennell,33,low,10/12/2009,10,12,1904
Bill Hollenback,6,Bill Hollenback,28,low,6/30/2009,6,30,1909
James Franklin,7,James Franklin,25,low,9/24/2009,9,24,2014
Dick Harlow,8,Dick Harlow,20,low,10/29/2009,10,29,1915
Pop Golden,9,Pop Golden,16,medium,11/16/2009,11,16,1900
Bill O’Brien,10,Bill O’Brien,15,low,10/28/2009,10,28,2012
Samuel Newton,11,Samuel Newton,12,low,11/2/2009,11,2,1896
Jack Hollenback,12,Jack Hollenback,5,low,11/2/2009,11,2,1910
Daniel Reed,13,Daniel Reed,5,medium,11/2/2009,11,2,1903
Joe Bedenk,14,Joe Bedenk,5,medium,11/2/2009,11,2,1949
Sam Boyle,15,Sam Boyle,4,low,10/28/2009,10,28,1899
Tom Bradley,16,Tom Bradley,1,medium,11/10/2009,11,10,2011
